processed_text,label
op game world,negative
mobile suck layout bedrock bad gat java,negative
worst game ever ekdam tattti game che,negative
love playing game keep struggling redstone secret base door working properly even xbox one sticky piston keep floating instead going back normal spot,negative
purchase officially minecraft play store game lag device sometime crash second freeze problem please fix problem request,negative
cant even play game min crash play world time cut tree real work im sent back home,negative
w game ive playing since worth every penny,negative
good game played life like roblox also minecraft favourite game minecraft special game ad bug,negative
nice game lag make hard play staying still game run cant move frustrates maybe need sim card,negative
cant install minecraft play friend try still doesnt work see common way fix problem send feedback understood issue pls solve,negative
personally think game bad playing java edition pc wanted play im another place like playing minecraft phone new joystick bad took hour find setting change heard hardcore minecraft coming bedrock put hardcore game im gon leave five star reviewedit hardcore,negative
like game problem add google sign play multiplayer mobile gamers,negative
cool game,negative
guy one made game tried download took two day hate didnt download,negative
controller broken game game freak tf occasionally refuse work correctly controller sometimes,negative
love game sometimes screen freeze snapdragon processor gb ram hope could solve problem cause annoying edit discovered thing lag phone chest chest disappears youre looking turn around lot chest well game freeze second youre house turn around frequently annoying please fix,negative
logo actually dump game hated friend logo advertising picture whi show mineraft look like old best,negative
give old minecraft gui back u ui icon ugly af mean cant play latest minecraft future minecraft known broad accessibility,negative
please give export world feature dont wan lost world,negative
exiced see minecraft diwali addon beceuse indian mai mahut khush hu ye game boht acchi hai game excellent love game plsss buy game byeeeeeeee,negative
playing year always favourite game,negative
please give update change person view one click want change perspective want long posse change perspective please please give update please thank,negative
dream game,negative
bast game,negative
looove game,negative
minecraft cool creepy pasta see,negative
started experiencing problem minecraft wouldnt load skin wouldnt let change would try edit change skin button wouldnt anything phone pretty new still lot space left another thing started happen unable joinconnect realm even though im connected wifi tried restarting phone deleting reinstalling minecraft nothing worked please fix possible,negative
bhai mera game mai koy v frnd nhi ban reha hain,negative
can leave beta ive done literally everything game refuse leave beta version despite left uninstall ed updated game mot take latest version pls help thx,negative
playing minecraft year favourite game,negative
game always fav epic crazy activeites problem purchase play store downloading show try download purchased minecraft please help please,negative
god game,negative
amazing game randomly got signed plz help error code gast switch wont work,negative
terribly optimized ton lag bug,negative
really cool game cant update yeah,negative
got game r love game,negative
like game simple,negative
love game good game problem upgrade control merge please make gap buttonsthank making game,negative
favourite game ever,negative
terrarium way better game horrible wish could give game star,negative
would leave less star literally many problem game practically make debug game microsoft literal trash support next none,negative
water glass black fix please,negative
due system setting cant move house new world anymore stop ruining decent time consuming game know would disapointed still see taken game,negative
knowledgeable game,negative
addicted game buti noticed lot witchcraft dont really like online dont really think christian like playing,negative
hllo please fix issue game start lagging recent normal update please fix,negative
super game,negative
new dpad made unplayable,negative
game cool every time delete time wouldnt wake dont delete second time third time dont delete cause cant get,negative
yeah guy thus real game,negative
live game joined beta cant get really stupid,negative
buggy waste money game becomes unresponsive come game load app work normal minecraft stay unresponsive happens im combat farming placing block freeze wont respond second time ill usually die close game reload none stuff save need save exit buggs mob spawning next torch villager despawning multiple blockstorches get placed picking exp,negative
good game except u get coin game,negative
favourite game happy find game game cool,negative
tried time game downloading,negative
one raging game fun time like game,negative
play game offline,negative
download problem money data waste,negative
hey son game wont let change character skin pick skin doesnt show shin picked go skin didnt pick,negative
look love game seems whenever play unknown reason get bored old time loved game played elder brother also friend two many resource hard annoying know acknowledge every single minute game randomly glitch annoying like gameand best game ad weird stuff coming around hope understand,negative
minecraft fun game open world online server,negative
fun game friend,negative
game interesting play game enjoying game playing friend game problem controller difficult play comfortably mobile,negative
ye bhot accha game hai like game game interesting,negative
op game,negative
game like game ad play friend build anything want,negative
unpleasant experience,negative
nice game game installing device help,negative
thanks adding left handed mode back plz dont add remove something essential game,negative
cool game minecraft kinda scaring little bit brought back old worldi didnt even want back gave back like thatim scared skinny,negative
buggy experience terrible need improvement,negative
interface bad cant really move play paralyzed entire time,negative
wrong marketplace can open friend world can get mojang,negative
game spot heart,negative
cant even install app say available ive played like get boring time say educational,negative
game like playing real game,negative
please change control back way havent played literally can play due change made,negative
letting double tap anything else getting really hard play like cant anything within game used favorite game cant fix,negative
love minecraft always always bug affecting minecraft lately though make nothing minecraft load properly weird though bug happened last winter hope fixed soon,negative
op game,negative
horrible game refuse give refund,negative
got game,negative
thier bug reason bow enchanted become invisible armor enchanted become weird blocky texture pls fix,negative
fun game unfortunately game lag much never progress hardcore mode please fix,negative
beet game expirians remove renderdregon,negative
playing game year still favourite time,negative
performance keep getting worse,negative
greed turned brought game barrel couldve better mod addons incredibly hard install especially new change phone regarding data file marketplace seems like something kid oil barren aristocrat kid unrestricted credit card could possibly use harrowing terrible dynamic lighting worth minecoin,negative
know whats going minecraft whenever try play say something wrong data keep deleting data working please mojang fix,negative
game download fix problem recharge use recharge back plz,negative
game cacat gak guna hapus aja dek slebew,negative
creativity start game artitist gamer always like game,negative
free ill uninstall game doesnt game hacking get game free,negative
stop greed paid game allowing creative stuff addons especially removing important feature holiday creator making addons work worst thing yall done basically forcing u buy stuff marketplace paid game make u pay,negative
cool game,negative
op game,negative
oppo game,negative
one beat game,negative
unable download another device coming file alredy exist there file device,negative
goated game,negative
game fun give application star minecraft cant installed tried disable reenable didnt work tried several time hope fix problem,negative
good game time becomes boring thing,negative
buying game bought game phone month later got chromebook wanted get minecraft chromebook saw pay hooked chromebook apps phone basically phone chromebook wish could play minecraft chromebook bc already paid app store,negative
amazing love never ending game soooooo many book game know almost know soon start getting boring new update learn update learn next one next one waste,negative
exceelllent game wow,negative
fix lot bug waste money buying game pack realm cant play bug,negative
soooooo bad,negative
favourite game dream game minecraft,negative
made account switch try make one android make screen black press contiue,negative
epic game,negative
like playing game month ago used play alot old phone accidentally dropped broke luckily bought another downloaded game worked min till crash old phone handle phone im using keep crashing hope get attention old phone samsung android current samsung android,negative
would give game star app doesnt drain battery,negative
minecraft nice game game update late boring plz mojang give u op update like add furniture new animal bird fish minecraft please update game,negative
oppen world game hard word mind word increasing brain power creativity enjoy playing friend multiplayer server game good game every one must try game,negative
optimised realistic survival game ever,negative
want play old verison game dont know download old version minecraft,negative
op game,negative
game crash minute,negative
yo give u option turn vibrate breaking block controller thats ridiculous ffs,negative
plsyful game play multi player online,negative
op game baar baar back ho ja raha hai,negative
super bhai maja agya iss game ko khel kar paisa wasool yeh boy isko maine apni gf ke sath khela meri gf toh khuss ho gai wowwww,negative
exelant game,negative
super game,negative
cool play game problem touch anything need press time move item,negative
download nahi ho raha game didnt download diverse,negative
please mojang fix download glich phone wan playing game please,negative
bestest game world love game,negative
fun autistic game little kid addicting,negative
game hilariously fun,negative
loved playing got boring didnt friend play worth money,negative
love game meri mmy bohot din ke baad ye download kar ke diya hai mujhe ye game pehle khel na ni aata tha lekin gamerfleet bhaiya ki video dekh ke sikh gyi ab bohot ache se khel leti hu,negative
game fun,negative
game installed even paid,negative
always drowned problem,negative
telling delete good game making delete thing need quest basically cant get cuz making make delete game want thats offline online whats game phone,negative
achcha game hai new update dalo jahan ek structure ho sa leg please crear,negative
ive got new oppo game refresh rate capped fps screen hz pls fix almost game phone editfixed problem going back samsung,negative
ive playing ton lag even graphic setting low combat trash lag crashing felt emoji poor use playing,negative
make game go sd,negative
amazing game one favorite mobile game last year issue lagging anytime combat mob bought brand new tablet play minecraft without lag gb ram hundred dollar later still doesnt work ive adjusted setting min still lag die every time play make game unplayable would advise anyone buying mobile version work regardless,negative
minecraft op king bus ek kami hai aapka mind aapka varjan sahi nahin hai mere dost ne paisa lagaye hue wala version kar le bhai ham paisa dekar karen aap koi naya version download naya varjan kar lo bhai naya varjan aur jiska jo paisa lagaya usko deta,negative
cool block game,negative
favourite game,negative
good game skin editor say use x x x used x skin doesnt work game keep telling use x x x,negative
bakwas game world download save money,negative
thats game emotion,negative
good game play game grass wall floor change,negative
reviewed ask pale garden update coming one,negative
sing bad never instal game,negative
im getting error cant play game bought game error showing,negative
unable connect server issue,negative
game downloading even pay,negative
op game bro,negative
like game,negative
good game like game,negative
bhot pyaar game haa,negative
utter garbage compared java edition reason even worse importing skin doesnt work trying say valid skin ive used year isnt right size clearly cant access world file without rooting cant create pack either,negative
thats favourite game,negative
fun game license error locked please minecraft fix,negative
bruh world delete randomly,negative
option use data whenever join multiplayer game let kick cant play game friend suck weve tried many thing fix none work randomly play alone camera start shaking cant see im,negative
turn stupid beta retarded didnt even ask sign beta loaded im stuck would force take part beta im part thati dont want part,negative
game god,negative
worst since beta update stuff gone pay mad stole worldsfriendsand marketplace worldsso give star,negative
hate went play min game crash,negative
game hidden secret hoorrrorcool,negative
much good game favourite game,negative
best game ever kid boring kid like game,negative
like game install play,negative
fav game,negative
nice game ever played got lot experience game,negative
bad game payment karke bhi install nahi ho raha kitne dinose try kar raha hu,negative
nostalgic,negative
game cool graphic good game learn many thing game problem like game,negative
interesting game play family game,negative
fun game friend keep getting weird glitch wont let u open skin pack went away awhile came back could fix permanently please,negative
good game get ggs sometimes hang much game,negative
played youngest life thing changed every game sgrewing never learns mistake,negative
game increasse kid creativity bug,negative
excuse know minecraft count minecraft yeah get back youre stupid game kicked fix problem please,negative
hate cant use outfit bought play game offline,negative
im trying play mobile get signed account cant get back stupid error code drowned,negative
sick experience,negative
opp game,negative
good game wont let download skin last phone would let import skin keep saying x get frustrated pls fix,negative
minecrat wont let import skin yeah suck like want import skin match freinds like app like cant u png x like image already meet requirement watched like ton tutorial still wont work liek kinda suck idk since used work doesnt think newest update like killed skin privilege,negative
game good giving bad headache,negative
game good game game super,negative
hate hate whyyyyyy cant join brother bc minecraft cant support using tablet,negative
bad game,negative
open world game,negative
horrible purchasing game redownloading reason verizon threw fast spectrum slowest greatly affected experience apps asw app contagious,negative
worst game ever,negative
omg kaya mast game hai oo,negative
devs wont listen community destroying people childhood hope game clearly dying specific mojang,negative
like game much,negative
favourite game,negative
good game building home game lag freeze crashed pls fix rate five star btw hate love,negative
dont word discribing game,negative
game,negative
like game fun hate changed control,negative
unplayable frame drop almost every second minecraft never unoptimized,negative
lot constant crash lost netherite set cause keep crashing realm bed chest double chest even banner rendering lag game alot even holding golden carrot enchanted netherite tool ur hand freeze screen moment go back normal crash game new update rendering problem fixed,negative
game favourite favourite game whatever build player friend family best game forever,negative
downloaded time game think bug download finished come written cant download minecraft try please fix thing,negative
update killed realm paying,negative
sorry ugly,negative
fav game,negative
annoying joining ur friend multiplayer server lot bug multiplayer crash many time fix otherwise really good game,negative
app personal fav gaming like game purchase game worth money,negative
ui change way back horrible phone tap hold crafting horrible game control always bad youve somehow made worse hotbar respond tapped unless pin point accurate movement broken crafting recipie selection nightmare take minute find torch,negative
childhood game,negative
ive always loved minecraft right game keep crashing app fully updated phone plenty storage space left wont stop crashing id better playing different platform bedrock minecraft waste money edit still bad except crashing everytime anything game garbage kind sad looking back used genuinely want refund doubt ill get one,negative
game emotion,negative
memory game hold,negative
bad user support always show issue playing online,negative
love game mod downloaded marketplace isnt working anymore saying trouble see purple black texture bought something cant download waste money dollar total pls fix glitch also im chromebook,negative
satisfying game horrible mob much irritating,negative
like game ar u gon update,negative
game outsourcing,negative
always exists hate,negative
think mobile lag want download gameeven though dont game keep say want update game clicked update said app installed package conflict existing package please tell fix thing,negative
game automatically sign beta testing didnt select lost progress still cant even play game im locked beta,negative
game sooo fun friend friend,negative
first game ever played nostalgic played fish update,negative
ridiculous arent able play game unless update app take data update game play game online,negative
prefect game think,negative
new control really bad however overall game fine,negative
like minecraft lot personally comfort game play time thing didnt like minecraft cant get access mod addons even paying game thats unfair would lot fun access free,negative
first downloaded itit boring fun,negative
loyal game since,negative
game dont phone phone low device purchase game pls refund money,negative
minecraft coin game play noob please find coin,negative
unbeatable game minecraftother game,negative
mojang need world back delete game update started giving toriels ive lost world please help get back,negative
played daily long time worked beautiful world year directly recent bundle bravery update game began lag livestock villager started spawning weird unpredictable place tempted give single star,negative
like minecraft reason cant play couple day since minecraft hasnt working still cant play long time still hasnt working know wrong,negative
updating game game crashed opened progress gone compete game got every achievement every item obtained version still pretty damn good game fun play friend dev see please fix,negative
overall like minecraft since guy added new screen recorder thing popups continue without mic option especially show random used controller game popup show continue move forward moved joint stick lost hardcore world pop give option silence long period time please frustrating,negative
fun adventure game ever,negative
op game,negative
im game freezing bug game freeze stuck second short time interval olease fix bug,negative
lagging game matei tought fixed problem month there nothin changeall game worked well device except minecrafthope aware abt fix soon,negative
epic game world,negative
fun game mojang pls fix bug indian cant join server,negative
best game ever offline single player play others cant see anybody would hate except price loveeee,negative
playing game year like game lot last update destroyed game stopping addons already destroyed shaders dont money buy pc minecraft u player bedrock pocket edition community give game star giving mojang please dont u player thanks everything,negative
please give feature play game pc,negative
game literally childhood absolute peak,negative
favourite game,negative
game got interest scroll searching random game stumbled upon game played game felt relaxed enjoyed surrounding day beautiful,negative
wont let sign terrible game worth,negative
sad minecraft ending support android still good game,negative
ismein b call girish bahut jyada hai bich bich mein lake ho jata hai pura game kiske karan main game nahin chhod kar dekhen pata chala,negative
opppp game,negative
game awesomeyou build almost everything want there mod change whole game make better plus ad dont pop middle game minecraft lot secret dont know yet hope enjoy,negative
cant add skin show add skin dimension command dont work good remove game worst game,negative
game keep lagging every second please fix problem phone realme g speed edition,negative
bad like craftsman game tried install minecraft gave game like craftsman,negative
favourite game,negative
game nya burik soalnya update selalu telat dan sekarang kebanyakan fitur yang gk dibutuhkan player terus game nya tambah ngelag ada lagi sistem control nya jadi ribet yang sekarang,negative
op game,negative
ever download game delete world goneeee said storsge location changed there way fix click thibg say select storage location minecraft file doesnt even show cant even access minecraft file supposed select,negative
purchased can install eveytime install say unable install,negative
favourite game,negative
need help spent rupee installing play store say install please help,negative
game downloading pay still,negative
game really goodbut cant play game multiplayer pc player,negative
minecraft great game day since last checked stopped playing due constant stuttering even removed lot farmland mob peach tree due particle doesnt go away dont think problem phone cause spent hour game sometimes encounter frame drop clustered chunk stuttering doesnt register certain input fix please,negative
crazy fun game,negative
reason downloaded minecraft game much fun im bored cant get enough game play thats love game make happy play friend build house together game goat,negative
quit game middle would save deleted world,negative
please mojang option playing pc mean control like java adding external device,negative
boaring game,negative
game favourite game made beautiful house game,negative
loved game playing since little kid new update guy changed everything trash changed wolf ever tf changed skin iconic cover thinking way change version whould favourite game cant even play game anymore feel like moded minecraft really disappointing,negative
cool game bro like lover minecraft play minecraft bro,negative
bruh incident lag happening tried reinstall game tried reinstall game coated money tried calling mojang help center didnt even give flying f situation give game one star least got game,negative
game achcha h youtube par video bhi bana sakte ho,negative
game keep crashing,negative
like playing game friend since render dragon can use shader thats make feel worth buying game,negative
really best game world game build anything like building road etc request minecraft community team make game hard youtuber quit game reason make game hard please please,negative
healing slow compared java,negative
paid game cant download,negative
game good see maney lag think improve game fix lag,negative
oppppppppppp game thank sooooooooooooo much minecraft pe,negative
like game glitch game good anyways,negative
lnd sa game chde pde hai,negative
hay please add game mic,negative
challenging game lot fun fighting adventure game,negative
bate game,negative
game good game,negative
good get girl ibrahim ballad give shawtamas mojang getting lazy update koinzas side salad chicken ahmed raho talladega ya kelleb tamet salt bul playstation,negative
best game infinite wonder nether thing game like real life game ended game take elytron fly world interested game play store app enjoy game lot brother multiplayer option beat ender dragon survival aguilera irritating searching elytron enjoy lot minecraft hate warden like weather enjoy game ruin cave village wondered,negative
cant edit skin wifi cellular data applies multiplayer content marketplace skin editingimporting besides great game also use skin us slim arm size every time open game skin change thick arm size,negative
really like game,negative
game called kicking little im,negative
way play game wish,negative
love game loved since kid keep crashing whenever play friend randomly started happening week game edit month still happening idea phone game need help,negative
fun game,negative
siuuuu game,negative
downloading lm fell bad please game please minecraft reply message please,negative
game phone year game glitched said didnt anymore made buy,negative
play game offline play game cooperatively competitively love game,negative
jack black would play well,negative
fav game,negative
love game show creativity endless,negative
ba yh game paisa lena band kar de gareeb bhi khel le baki mene khel liya,negative
bad cant even restore purchase game,negative
game version console microsoft account connection yet playing world save platform isnt possible requires extra subscription brought platform parody bedrock save across platform seemed part apparently mobile included,negative
brand blocky survival game family friendly,negative
op game,negative
game forcing new beta version wont let get cant play server,negative
hate game,negative
dream game buy dream game adventorous game,negative
purchase game wont install install say cant instal mincraft hone ultra try everything nothing fix problem,negative
game really crazy giving start,negative
beat game ever,negative
game actually fav offline game u buy super fun make builded explore place,negative
game saying licencing error know ive downloaded reinstalled please fix,negative
free thats wy play mc game mf game hag,negative
control reset middle game fix first mojang,negative
beat game playing since since pe first released,negative
want pale garden release date please,negative
favourite game minecraft like minecraft love game,negative
hate update everything touch talk cant even scroll anything,negative
friend playing survival randomly suffocated,negative
mob ugly,negative
game good everything fun due weird bug lost account couldnt recover minecraft game forced make new account cause lost world friend worked total week every survival world,negative
w game,negative
game pixelated also want adventure,negative
india server opening locating server unable connect world common problem please fix,negative
make national park mode dont make actual game animal look overloaded one releasing animal actual game,negative
get decent phone ill load agin,negative
favourite game,negative
game good problem im giving star stucks uniformly phone second second please fix issue ill give star rating appreciate work,negative
paid money game install please dont paid money,negative
wow like game spent time survival mode one favourite game playing felt motion sickness,negative
op game sui,negative
favourite game wish everyone world played,negative
dont buy game bad can sign bad,negative
bad game,negative
worst game ever played give star use rupee,negative
describe insane cool,negative
oppp game,negative
control suck sensitivity reaction time delay bring back old control paid game,negative
recently updated game wont load single game kick loading creating getting frustrated ive playing year mobile,negative
bad purchase cant install phone microsoft solve problem far,negative
playing minecraft quite time believe control bit harder navigate though keep also issue joining worldsrealms upon logging microsoft account worldrealm stuck loading screen way join world signed tedious,negative
everyone play minecraft least life,negative
game great nostalgia factor game said phone generally weaker console minecraft xbox pc playstation switch game updated built power standalone console mind usually make experience worse pocket edition sheer size processing power minecraft make game laggy unresponsive certain phone texture pack unusable,negative
playing minecraft year since beginning realm year ago coz politician playing game favorite game payment system blocked still cant forgive cant even download paid minecraft,negative
give nostalgic game experience,negative
please add ore armour boss make game hard please game epic play thanks mojang,negative
hate download b time played italingtimeapgo download,negative
dis nice game mist download dis game play friend,negative
fav game,negative
first game minecraft,negative
cool game,negative
like game soo much,negative
laggy af gb ram ridiculous run game actual graphic like diablo fine haha laughable give back garbage,negative
like game much add new mob mob,negative
worst update renamed adding useless junk name like play friend another notable fact change minecraft work read mcpack mcaddon without even copying made update manually add file game stop halfassed worker job dont change way minecraft work especially modfying file,negative
thought pay actually didnt pay dont know crazy sometimes im unable join,negative
favourite game,negative
really good game dont control pad attached id think twice mobile phone control infuriatingly difficult use,negative
game,negative
funnest game ever,negative
good game mojang whoevers running minecraft day please please fix lag ever since october game lagging please fix mojang edit dont worry game running fine,negative
bought add updated month later buy money gone im extremely annoyed give money back,negative
game good mein acchi game hai doston ke sath khelne mein maja aata hai mod jaaye bahut maja aata hai mere bacche ko yah game bahut achcha bhai birbal yahi game khelta hai kali ek vachan nahin hai homework nahin karta hai,negative
love hate relationship game really cant rate hypocrite im literally named steve minecraft mobile version mid whats point rating anyways know minecraft minecraft,negative
awful delete favorite game pokemon unite update whyyyyyy,negative
like waiting inside rain stop get game thats include fun stuff like coma sitting waiting room,negative
game friend,negative
game setting keep resetting every hour time log would change setting againi need change skin skin keep resetting default one,negative
good game relax chilling friend,negative
game first time first game game nice mine craft better expensive,negative
giving unable join server mojang studio please fix,negative
wrong moajang make game optimize used play gb ram mobile smoothly without shutter lag even though gb ram phone facing lag frame drop etc mention phone run genshin impact much smoother atleast minecraft fix,negative
good quality addicted game cant stop playing problem want play friend always say minecraft isnt reporting,negative
randomly broke half addonsmods still work fine randomly others dont show block item creative menu yes turned necessary experimental setting,negative
buught game price price mojang,negative
word game fantastic game,negative
playing game last year game tooooo easy adventure,negative
multiplayer game game good game,negative
game freeze every sec hell irritating,negative
bought game since pirate version pain play cant even install say cant install minecraft see common way fix waste money cant even refund,negative
god forbid game buggy,negative
chilling around building new home world joined world glass water turned color black kill fun,negative
educational relavent game ever seen,negative
buyed minecraft good game reading think buyed buy play given bcz worst shaders engine render dragon minecraft serious render dragon minecraft developer reading please request remove render dragon day shaders boring like poop plz fix,negative
happened steve starting character black black give break eye roll,negative
sick new update dread bundle,negative
okay idk yall updated game needed birch plank make stick need mangrove plank like im sorry wdf idk find mangrove anywhere hard find need stick make ax pixaxes please change back,negative
sigh want build game say maybe update soon following link update offered can get past want hollow side hill,negative
game mind blowing experience zombie fun super game,negative
game crashed wont go past load screen,negative
laggy sorry minecraft laggy,negative
minecraft child hood game ever since use imagination survival skill fun play friend,negative
goat game,negative
bad game hate,negative
cant install game device samsung,negative
game ultimately bot game didnt find option giving star play store plz add star give star garbage minecraft bugcraft filled thousand bug never fix know finally ultimate bot game thank,negative
wont setting skin save cloud always get signed account every session ingame music still low even max setting ever since lot stuff became tedious work upon especially transfer backup world file realm world expire informed losing endgame world ever since crossplay content well marketplace everything went downhill play java,negative
game,negative
downgrade version game,negative
like game,negative
game educational,negative
game fun get block kill zombie go called nether go end,negative
block craft copied exactly minecraft claim copyright pls something copied minecraft game,negative
bad gameeee dont install gameeee,negative
maaaaan game fellof,negative
one favourite game,negative
beast game minecraft,negative
good game im playing game childhood today also play game get time,negative
thankyou game time get idea create game,negative
cant download time waste money waste,negative
thanks uploading game thank mojang,negative
even though bought game using credit card cant play popup appears called liscence error unable play game please fix mojang,negative
element game make trash zero fun survival issue spawning said bed available respawned almost block home died time trying make trip back also spend majority time trying recover stuff die cave spent hr mining diamond creeper send lava gone cheat make game playable broken,negative
favourite game,negative
say serious reported least four people past couple month hive server minecraft saying thing chat like love minor im trying sleep minor people trying get little girl give number every single report came back telling there nothing found nothing wrong thought people know minecraft okay stuff,negative
long time seen play game good memory game,negative
one frustrating problem inability connect multiplayer server player often encounter error message like unable connect world experience extreme latency attempting join public private server issue particularly noticeable peak hour hinting potential server overload regional network instability,negative
playing game many month updated world tried done upset play game,negative
even though network good g running still unable connect server please something alot user quitting due reason even though tried reinstallinf game problem occurs,negative
nice game whene paly game ill keep mind fresh,negative
aa genius game,negative
chord game,negative
paid game game keep stuttering every second since version kinda annoying armor glint broken visually,negative
childhood game,negative
op game,negative
im finished playing game bro every time try connect friend display message please check internet connection fix problem,negative
reting game thala reason,negative
much fun lovest game,negative
game total waste money old minecraft worthy game download game even playing old minecraft would disappeared game would pop phone world would deleted happened found minecraft disappearing went play store found game download started playing word gone microsoft account signing,negative
devs people attempting kill game mobile version,negative
give star game,negative
nice game w game pls add chhota bheem,negative
game good old account mansion hill recommend playing especially anxity game help,negative
late done,negative
minecraft e el mejor game,negative
die bad game quit,negative
op game,negative
game worthy survival player,negative
real world realistic game,negative
nostalgic game price still worth buy fan game since kid finally beated dragon survival till day game still worth buy love big time,negative
super game,negative
best game ever currently im facing problem cusomized control get reset ride horse exit annoying customize control please look thanks,negative
thank fix transparent thing turn black samsung,negative
download game laggy go update wont update dont download plz,negative
need animal game,negative
favourite game,negative
truly listen player care one two return holiday feature add feature addons holiday feature work thats mobile player order hard,negative
game nya bagusssssss,negative
dont wan lie extremely fabulous game,negative
hate game logic difference java edition bedrock edition java player enjoy game making various farm can made bedrock due logical reasoning version want change thing started dislike game uninstalled,negative
hate minecraft removing previous shaders support,negative
sudden cant create new world paid app useless,negative
laggy gameplay lot fps drop unplayable,negative
live game give offer pc player also,negative
like game,negative
vvv nice game time guy game teach u creativity end,negative
game played growing im,negative
op game,negative
spam handling poor fifth time ive created account daughter always get locked,negative
favourite game forever playing year,negative
funny block game,negative
got mod would like herobrine back blood twin like entity back want charge back want entity back want scary entity want mob removed past think game put boss every biome,negative
unable join friend minecraft world,negative
actually fun game played game aquatic update want tell guy need improve enchanting system cuz get confused enchanting perhaps guy could add detail enchanting book maybe ill give star happens,negative
minecraft game inspiration entire gaming community,negative
gud game,negative
word love game download thing bad money get game,negative
casual game,negative
fun offline game play plane also online,negative
played gb ram sd android im sorry say mcpe love play long gone cosmetic really screw game whole seems problem due complex game feature year ago thanks bloatware microsoft,negative
masterpiece game,negative
bast game,negative
love game thing hate bugglitch,negative
awesomest game ever played life,negative
favourite game,negative
world game,negative
minecraft favorite video game along among u goat simulator roblox could build stuff minecraft fight zombie monster nothing inappropriate blocky cartoon violence war game android io pc psp psvita p p p xbox xbox one xbox series nintendo d nintendo wii u nintendo switch etc minecoins different robux roblox game kidfriendly recommend game kid subscription fun,negative
game course lot money,negative
change iconmy daughter died heart attack ugly much pay funeral bill,negative
game soo fun im addicted cubecraft server minecraft,negative
game really supportive supper game,negative
please give update game prioritize regeneration issue slow u enjoy new hardcore mode added hope reach devs affect experience player playing game especially hardcore mode,negative
nice game boaring like game,negative
adventure game,negative
literally paid installed game yesterday cant even join server say invalid ip address even put correct port ip address im already whitelisted server still cant join update still played game laggy join friend server keep saying invalid ip address even got ip right plus good wifi pls fix annoying,negative
mojang please stop making everything tryhards everybody know new halloween update cubecraft trying get two skeleton pillar far apart keep falling im even using nintendo please stop try hard stuff everybody really good minecraft player please dont know type parkour type stuff would allow going making frustrated delete damn app,negative
literally bugcraft bro extremely poorly made game different sensitivity running idle cant even change separately new control awful tf even made beta version,negative
thank game make,negative
bestest game ever played soookooon,negative
unable install game,negative
sigma game,negative
thes game vare entstrin tray kar ka dak,negative
boring,negative
game fun add particle slider,negative
nice game thanks game,negative
bad pay realm reason even hot trouble shoot issue happened dont enjoy paying thing cant even use,negative
nice game ever seen built anything built real world game add addons much fun game endless game recommened everyone play game enjoy,negative
minecraft game laggy play min game lag crash please fix,negative
new update control layout changed bad,negative
im extremely disappointed minecrafts performance india im constantly faced server issue disconnection lag cant even play friend despite trying troubleshooting vpn problem persist frustrating see game much potential marred poor server performance please fix minecraft team,negative
game favourite game like minecraft life free fire wife,negative
w game,negative
great game stupid kid like,negative
coll rocking game,negative
beta tester game showing running beta version plz resolve problem soon possible thank,negative
game beginner,negative
cant install game get money back,negative
minecraft game op,negative
tired issue connecting,negative
good problem come game play kick game fix,negative
beutiful full game,negative
game built dream house everything want build still playing game year problem im playing think install enjoy,negative
favourite game bored playing alone may friend offline time,negative
cool game,negative
finally purchased game year,negative
bought game recently give money back please play store,negative
water still broken im playing ultra water black ruin look game,negative
bhai mere server nahi chel reha hai,negative
op game love play game friend,negative
ekadam hop game,negative
star reason im game patch game install,negative
goooooooooooood game,negative
game fun add wither storm back,negative
whole reason play game cause dsmp,negative
damn game fire like rain let go anapi,negative
issue cant upload skin kept telling png x mine already x png file mb tried clearing game data redownload skin file nothing worked please fix thisss,negative
im iitteraly obsessed game,negative
fire game,negative
game made pro,negative
fix control getting reset glitch open chest riding horse thing control setup reset annoying sorry english writing hurry,negative
love game paid version game logic thing,negative
brooo game compatible itel pad pls fix meet requirement,negative
render dragon ruined game,negative
best pro sandbox game build craft destroy con pay download even worse pay extra coin,negative
horrible,negative
hey guy fix sign cause im trying sign game close guy fix ill put star,negative
op game,negative
op game ever,negative
add ingame modding tool add shaders mobile device low end add mob add block add weather biome optimise game,negative
minecraft widely adored sandbox game stand boundless creativity adaptability universal appeal encourages player explore build interact world composed simple block allowing construct anything small house massive city one minecrafts key strength openended gameplay offering survival creative mode suit different playstyles survival mode challenge player gather resource,negative
minded game like crators also real java like ui minecraft bedrock,negative
like game,negative
op game,negative
started playing game dropped p oh day remember building block tall dirt wall around mine friend spruce wood mansion miss stampy tutorial world sooo much please mojang add previous tutorial world market place beging edit please add back file type let mod work,negative
good game reason except frustration new setup miss old minecraft screen button move fight fix positioning skin dont even work tell theyre wrong size despite literally made game,negative
impossible get refund bought tower dungeon say downloading never saying day would highly suggest buy type addon game,negative
like game variety thing problem skin imported stopped working skin random ive trying fix cant get show imported skin make mad show skin equipped doesnt show instead show one default skin really hope fixed edit got work reimport skin,negative
wish would another dimension could go portal deep dark,negative
please add pale garden creaking new flower wood bedrock edition,negative
way cried making small grave irl cat died hit different,negative
game pc although wanted phone bought cant download paid dollarsbeen playing since app cant download play storeidk,negative
game amazing ive personally playing year issue game sometimes get small lag spike game lot stuff really impact gameplay year amazing game age,negative
game bast,negative
